"";"CD_PROGRAMA_IES";"NM_AREA_AVALIACAO";"SG_AREA_AVALIACAO";"CS_STATUS_JURIDICO";"DS_DEPENDENCIA_ADMINISTRATIVA";"ANO_INICIO_PROGRAMA";"NM_MODALIDADE_PROGRAMA";"CD_CONCEITO_PROGRAMA";"NM_REGIAO";"SG_UF_PROGRAMA";"SG_ENTIDADE_ENSINO";"NM_PROGRAMA_IES";"NM_GRAU_PROGRAMA";"QFGDi";"QDP";"DFGDi";"FCDi"
"1786";"32014015006P0";"BIODIVERSIDADE";"BIOD";"ESTADUAL";"PÚBLICA";2006;"ACADÊMICO";"3";"SUDESTE";"MG";"UNIMONTES";"BIODIVERSIDADE E USO DOS RECURSOS NATURAIS";"MESTRADO";23;36;0,638888888888889;0,638888888888889
"1787";"32014015007P6";"LETRAS / LINGUÍSTICA";"LETR";"ESTADUAL";"PÚBLICA";2009;"ACADÊMICO";"3";"SUDESTE";"MG";"UNIMONTES";"LETRAS-ESTUDOS LITERÁRIOS";"MESTRADO";20;45;0,444444444444444;0,444444444444444
"1788";"32014015008P2";"HISTÓRIA";"HIST";"ESTADUAL";"PÚBLICA";2011;"ACADÊMICO";"3";"SUDESTE";"MG";"UNIMONTES";"HISTORIA";"MESTRADO";19;41;0,463414634146341;0,463414634146341
"1789";"32014015009P9";"BIOTECNOLOGIA";"BIOT";"ESTADUAL";"PÚBLICA";2011;"PROFISSIONAL";"3";"SUDESTE";"MG";"UNIMONTES";"BIOTECNOLOGIA";"MESTRADO PROF.";25;49;0,510204081632653;0,510204081632653
"1790";"32014015010P7";"INTERDISCIPLINAR";"INTE";"ESTADUAL";"PÚBLICA";2014;"PROFISSIONAL";"3";"SUDESTE";"MG";"UNIMONTES";"MODELAGEM COMPUTACIONAL E SISTEMAS";"MESTRADO PROF.";36;45;0,8;0,8
"1791";"32014015011P3";"GEOGRAFIA";"GEOG";"ESTADUAL";"PÚBLICA";2014;"ACADÊMICO";"3";"SUDESTE";"MG";"UNIMONTES";"GEOGRAFIA";"MESTRADO";19;27;0,703703703703704;0,703703703703704
"1792";"32014015101P2";"ECONOMIA";"ECON";"ESTADUAL";"PÚBLICA";2016;"PROFISSIONAL";"3";"SUDESTE";"MG";"UNIMONTES";"DESENVOLVIMENTO ECONÔMICO E ESTRATÉGIA EMPRESARIAL";"MESTRADO PROF.";22;40;0,55;0,55
"1793";"32016018001P0";"ZOOTECNIA / RECURSOS PESQUEIROS";"ZOOT";"PARTICULAR";"PRIVADA";2002;"ACADÊMICO";"4";"SUDESTE";"MG";"UNIFENAS";"CIÊNCIA ANIMAL";"MESTRADO";15;27;0,555555555555556;0,555555555555556
"1794";"32016018002P7";"CIÊNCIAS AGRÁRIAS I";"CAGRI";"PARTICULAR";"PRIVADA";2006;"PROFISSIONAL";"4";"SUDESTE";"MG";"UNIFENAS";"SISTEMAS DE PRODUÇÃO NA AGROPECUÁRIA";"MESTRADO PROF.";30;41;0,731707317073171;0,731707317073171
"1795";"32016018003P3";"MEDICINA VETERINÁRIA";"MVET";"PARTICULAR";"PRIVADA";2009;"ACADÊMICO";"3";"SUDESTE";"MG";"UNIFENAS";"REPRODUÇÃO, SANIDADE E BEM-ESTAR ANIMAL";"MESTRADO/DOUTORADO";13;27;0,481481481481481;0,481481481481481
